temperature,altitude,pressure,zone_class
26.0,497.6,959.96,Cool_Humid
22.89,616.0,945.0,Cool_Humid
25.62,511.0,955.29,Cool_Humid
33.4,189.4,995.0,Hot_Dry
32.72,0.5,1018.96,Hot_Dry
29.04,153.2,998.4,Hot_Dry
24.86,530.1,953.35,Cool_Humid
23.53,338.0,972.13,Cool_Humid
32.12,62.3,1008.85,Hot_Dry
28.37,151.0,1001.56,Hot_Dry
22.5,520.9,951.04,Cool_Humid
29.54,187.1,999.26,Hot_Dry
30.49,132.2,997.27,Hot_Dry
29.78,101.6,1004.44,Hot_Dry
30.78,52.9,1005.41,Hot_Dry
32.05,64.6,1007.55,Hot_Dry
15.0,683.6,934.22,Unstable
33.08,257.4,995.0,Hot_Dry
31.13,145.1,995.52,Hot_Dry
26.0,448.7,960.92,Cool_Humid
31.04,121.6,999.29,Hot_Dry
29.27,954.0,922.39,Unstable
38.99,817.5,931.36,Unstable
15.0,210.2,956.22,Unstable
24.06,591.5,945.0,Cool_Humid
30.76,256.3,995.0,Hot_Dry
38.93,823.1,919.79,Unstable
34.28,150.3,998.15,Hot_Dry
26.0,600.3,945.0,Cool_Humid
29.33,251.6,995.0,Hot_Dry
24.93,554.2,946.13,Cool_Humid
20.94,933.1,907.97,Unstable
29.07,367.0,977.29,Unstable
22.2,411.8,962.49,Cool_Humid
36.33,773.7,901.35,Unstable
20.1,440.4,962.15,Cool_Humid
28.37,0.0,1014.78,Hot_Dry
28.1,110.8,1004.75,Hot_Dry
20.0,621.6,945.0,Cool_Humid
23.62,523.7,953.1,Cool_Humid
28.45,18.4,1010.3,Hot_Dry
35.0,207.5,995.0,Hot_Dry
24.69,27.4,1019.75,Unstable
30.22,90.7,1000.53,Hot_Dry
32.99,138.0,998.79,Hot_Dry
31.36,256.5,995.0,Hot_Dry
23.75,533.2,952.36,Cool_Humid
25.4,821.8,904.31,Unstable
30.5,192.6,997.69,Hot_Dry
25.24,342.1,979.76,Unstable
33.42,127.8,1001.13,Hot_Dry
33.43,118.5,1002.25,Hot_Dry
34.28,247.6,995.0,Hot_Dry
31.5,537.2,925.69,Unstable
24.59,657.3,945.0,Cool_Humid
31.05,39.3,1006.32,Unstable
21.24,786.9,945.0,Cool_Humid
30.86,648.4,913.4,Unstable
19.44,6.0,1017.15,Unstable
22.2,579.8,949.04,Cool_Humid
30.17,698.7,915.2,Unstable
24.08,654.9,945.0,Cool_Humid
24.88,302.0,973.36,Cool_Humid
35.0,44.1,1010.44,Hot_Dry
29.92,122.5,1003.16,Hot_Dry
30.64,690.2,927.56,Unstable
22.98,797.8,926.86,Unstable
33.97,209.9,986.03,Unstable
24.29,526.9,952.26,Cool_Humid
32.19,15.6,1013.67,Hot_Dry
30.84,115.5,1002.36,Hot_Dry
21.63,585.9,945.0,Cool_Humid
33.01,199.1,995.0,Hot_Dry
32.1,129.1,999.4,Hot_Dry
27.63,747.1,917.01,Unstable
23.42,526.8,953.56,Cool_Humid
22.43,560.6,948.15,Cool_Humid
35.74,944.8,932.78,Unstable
23.14,674.4,945.0,Cool_Humid
31.43,5.8,1016.76,Hot_Dry
40.0,239.7,994.32,Unstable
